label;genre;origin
Aislin;F;irish, english
Aisling;F;irish
Aislinn;F;irish
Aïssa;F,M;
Aïssata;F;
Aïssatou;F;
Aithne;F;irish
Aitor;M;basque
Ajax;M;greek mythology (latinized)
Ajeet;M;indian
Ajit;M;indian
Ajith;M;indian
Akakios;M;greek, ancient greek
Akamu;M;hawaiian
Akanksha;F;indian
Akeem;M;arabic
Akemi;F;japanese
Akhil;M;indian
Aki;M,F;japanese
Akiko;F;japanese
Akilah;F;arabic
Akilina;F;russian
Akim;M;russian
Akinyi;F;african
Akio;M;japanese
Akira;M;japanese
Akiva;M;jewish
Akoni;M;hawaiian
Akosua;F;african
Akram;M;
Aksel;M;danish, norwegian
Aksil;M;
Aksinya;F;russian
Aku;M;finnish
Akua;F;african
Akulina;F;russian
Al;M;english
Alaa;F;
Alaba;F;african
Alain;M;french
Alaina;F;english
Alan;M;english, scottish
Alana;F;english
Alanis;F;english
Alanna;F;english
Alannah;F;english
Alannis;F;english
Alaois;M;irish
Alaric;M;history
Alasdair;M;scottish
Alassane;M;
Alastair;M;scottish
Alastar;M;irish
Alayna;F;english
Alba;F;italian, spanish
Alban;M;english, german
Albane;F;
Albéric;M;english
Albert;M;english, french
Alberta;F;english, italian
Albertina;F;italian, german, portuguese, english
Albertine;F;french
Alberto;M;italian, spanish, portuguese
Albin;M;
Albina;F;italian
Albrecht;M;german
Alby;M;irish
Alcaeus;M;ancient greek (latinized)
Alcippe;F;greek mythology (latinized)
Alcyone;F;greek mythology (latinized)
Alden;M;english
Aldo;M;italian
Aldous;M;english
Aldrick;M;
Alea;F;english (modern)
Alease;F;english
Alec;M;english
Alechjo;M;esperanto
Aled;M;welsh
Aleesha;F;english (modern)
Aleit;F;german
Alejandra;F;spanish
Alejandro;M;spanish
Alejo;M;spanish
Aleksandar;M;bulgarian, macedonian, croatian, serbian
Aleksander;M;polish, slovene, albanian
Aleksandr;M;russian
Aleksandra;F;russian, polish, serbian, bulgarian, slovene
Aleksandrina;F;serbian, croatian, russian
Aleksandro;M;esperanto
Aleksanteri;M;finnish
Aleksei;M;russian
Aleksi;M;finnish
Alene;F;english
Alenka;F;slovene
Ales;M;czech
Alesha;F;english (modern)
Alessa;F;italian
Alessandra;F;italian
Alessandro;M;italian
Alessia;F;italian
Alessio;M;italian
Aleta;F;english
Aletha;F;english
Alethea;F;english
Alex;M,F;english
Alexa;F;english
Alexander;M;english, german, dutch
Alexandr;M;czech
Alexandra;F;german, scandinavian, dutch, english, greek,
Alexandre;M;french, portuguese, hungarian
Alexandrea;F;english
Alexandria;F;english
Alexandrie;F;french
Alexandrina;F;english
Alexandros;M;greek, ancient greek
Alexandru;M;romanian
Alexane;F;
Alexei;M;russian
Alexej;M;czech
Alexia;F;english, german
Alexina;F;english
Alexis;M;german, french, english, ancient greek
Alexius;M;ancient greek (latinized)
Alexus;F;english
Alexy;M,F;
Alf;M;english
Alfeo;M;italian
Alfhild;F;norwegian, swedish
Alfons;M;german
Alfonsina;F;italian
Alfonso;M;spanish, italian
Alfr;M;hungarian
Alfred;M;english, french
Alfreda;F;english, polish, german, italian
Alfredo;M;italian, spanish, portuguese
Alfsigr;F;ancient scandinavian
Algar;M;english
Alger;M;english
Algernon;M;english
Ali;M;arabic
Alia;F;arabic
Aliah;F;
Alice;F;english, french
Alicia;F;spanish, english
Alida;F;hungarian
Alienor;F;
Aliisa;F;finnish
Alima;F;
Alin;M;romanian
Alina;F;arabic, german, polish
Aline;F;french, english
Aliou;M;
Alis;F;welsh
Alisa;F;english
Alisha;F;english
Alisia;F;english
Alison;F,M;english, french
Alissa;F;english
Alistair;M;scottish
Alister;M;scottish
Alisya;F;english (modern)
Alix;M,F;english
Alixe;F;
Aliya;F;
Aliyah;F;jewish
Aliz;F;hungarian
Aliza;F;jewish
Alizee;F;
Allan;M;english, scottish
Allannah;F;english
Allegra;F;english, italian
Allegria;F;english
Allen;M;english, scottish
Allie;F;english
Allison;F;english
Allon;M;biblical
Ally;F;english
Allya;F;
Allycia;F;english (modern)
Allyn;M;english
Allyson;F;english
Alma;F;english
Almas;F;arabic, iranian
Almira;F;english
Almudena;F;spanish
Alo;M;
Alodia;F;
Aloïs;M;german, czech
Aloisia;F;german
Aloisio;M;portuguese
Alojz;M;slovene
Alon;M;jewish
Alondra;F;spanish
Alone;M;
Alonso;M;spanish
Alonzo;M;italian
Aloys;M;
Aloysius;M;english, german, dutch
Alp;M;turkish
Alpertti;M;finnish
Alpha;M,F;english
Alphaeus;M;biblical
Alphonse;M;french
Alphonsine;F;french
Alphonso;M;italian
Alphonsus;M;
Alphonzo;M;english
Alpin;M;scottish
Alta;F;
Altan;M;turkish
Alte;F;jewish
Alter;M;jewish
Althea;F;greek mythology (latinized)
Alton;M;english
Aludra;F;astronomy
Alun;M;welsh
Alva;M;
Alvah;M;biblical
Alvar;M;english
Alvena;F;english
Alvilda;F;danish
Alvin;M;english
Alvina;F;english
Alvis;M;norse mythology
Alwilda;F;english
Alwyn;M;english
Aly;M;
Alya;F;arabic
Alyah;F;
Alyce;F;english (modern)
Alycia;F;
Alyona;F;russian
Alys;F;english (modern)
Alysha;F;english (modern)
Alyson;F;english
Alyssa;F;english
Alyssia;F;english
Alysson;F;
Alyusha;M;russian
Alyx;F;english
Alzbeta;F;czech, slovak
Ama;F;african
Amabel;F;english
Amada;F;spanish
Amadeo;M;italian
Amadeus;M;late roman
Amadi;F,M;african
Amadou;M;
Amaël;M;
Amal;F,M;arabic
Amala;F;indian
Amalia;F;german, english
Amalric;M;ancient germanic
Amalthea;F;greek mythology
Amanda;F;english
Amandine;F;english
Amando;M;spanish
Amani;F,M;arabic
Amar;M;indian
Amara;M,F;
Amaranta;F;english
Amarante;F;french, ancient greek
Amardad;M;
Amariah;M;biblical
Amaryllis;F;english
Amaterasu;F;far eastern mythology
Amato;M;italian
Amaury;M;french
Amaya;F;japanese
Amber;F;english
Ambra;F;italian
Ambre;F;french
Ambrine;F;
Ambrogino;M;italian
Ambrogio;M;italian
Ambroise;M;french
Ambrose;M;english
Ambrosia;F;ancient greek
Ambrosine;F;english
Ambrosio;M;spanish, portuguese
Ambrus;M;hungarian
Amedea;F;italian
Amedeo;M;italian
Amedeus;M;english
Amel;F;
Amelia;F;english
Amelie;F;
Amen;M;egyptian mythology
Amenhotep;M;ancient egyptian
America;F;english
Americo;M;spanish, portuguese
Amerigo;M;italian
Amethyst;F;english
Amhlaidh;M;scottish
Amhlaoibh;M;irish
Ami;F;english (modern)
Amias;M;english
Amice;F;english
Amicie;F;
Amie;F;english
Amika;F;esperanto
Amilcar;M;portuguese, spanish
Amilia;F;english
Amin;M;arabic
Amina;F;arabic
Aminata;F;
Aminda;F;esperanto
Amine;M;
Aminta;F;
Amir;M;arabic
Amira;F;arabic
Amita;F;indian
Amittai;M;biblical
Amity;F;english
Ammiel;M;biblical
Ammon;M;egyptian mythology (hellenized)
Amon;M;egyptian mythology
Amos;M;biblical, english, jewish
Amparo;F;spanish
Amrit;M,F;indian
Amrita;F;indian
Amy;F;english
Amyas;M;english
Amynta;F;
An;M,F;chinese
Ana;F;spanish, portuguese, slovene, bulgarian, roma
Anabelle;F;
Anacleto;M;italian, spanish, portuguese
Anacletus;M;ancient greek (latinized)
Anae;F;
Anaël;F;
Anaëlle;F;
Anahid;F;armenian
Anahita;F;near eastern mythology
Anaïs;F;
Anaitis;F;near eastern mythology (hellenized)
Anakin;M;literature
Anakoni;M;hawaiian
Anan;M,F;african
Anand;M;indian
Ananda;F;indian
Anani;M;biblical
Ananias;M;biblical
Ananta;M;indian
Ananth;M;indian
Anantha;M;indian
Anargyros;M;greek
Anaru;M;maori
Anas;M;arabic
Anass;M;arabic
Anastacia;F;english
Anastas;M;spanish
Anastasia;F;russian, greek, ancient greek
Anastasie;F;french
Anastasio;M;italian
Anastasios;M;greek, ancient greek
Anastasius;M;ancient greek (latinized)
Anaszt;M;hungarian
Anat;F;near eastern mythology
Anath;M,F;biblical
Anatole;M;french
Anatoli;M;russian
Anatolius;M;ancient greek (latinized)
Anatoly;M;russian
Anatu;F;near eastern mythology
Anaxagoras;M;ancient greek
Anca;F;romanian
Anchjo;M;esperanto
Andela;F;czech
Ander;M;basque
Anders;M;scandinavian
Anderson;M;english
Andor;M;norwegian
Andr;M;spanish,hungarian
Andra;F;english
Andras;M;welsh
Andraste;F;celtic mythology
Andre;M;
Andrea;M,F;italian, english, german, czech, slovak, hung
Andreas;M;german, greek, scandinavian, ancient greek
Andreea;F;romanian
Andrei;M;russian, bulgarian, romanian
Andreia;F;portuguese
Andrej;M;slovene, czech, croatian
Andreja;F;slovene
Andreu;M;catalan
Andrew;M;english, biblical
Andriana;F;english
Andries;M;dutch
Andrija;M;croatian, serbian
Andrina;F;english
Andris;M;hungarian
Andriy;M;ukrainian
Andro;M;croatian
Androcles;M;ancient greek (latinized)
Andromache;F;greek mythology
Andromeda;F;greek mythology
Andronikos;M;ancient greek
Andrzej;M;polish
Andy;M;english
Ane;F;danish
Aneirin;M;welsh
Anelie;F;german
Anemone;F;english
Anes;M;
Aneurin;M;welsh
Anfisa;F;russian
Ange;M,F;
Angel;M,F;english
Angela;F;english, italian, german, romanian, slovene
Angèle;F;
Angelia;F;english
Angelica;F;english, italian, romanian
Angelika;F;german
Angelina;F;english, italian
Angeline;F;french
Angelique;F;french
Angelita;F;spanish
Angelle;F;english
Angelo;M;italian
Angelos;M;greek
Angerona;F;roman mythology
Angharad;F;welsh
Angie;F;english
Angus;M;scottish, irish, english
Angyalka;F;hungarian
Ania;F;russian, polish
Anibal;M;spanish, portuguese
Anica;F;slovene
Anicetus;M;ancient greek (latinized)
Aniela;F;polish
Anik;F;hungarian
Anika;F;
Aniketos;M;greek, ancient greek
Anima;F;indian, english
Aniruddha;M;indian
Anis;M;
Anisa;F;arabic
Anise;F;english
Anisim;M;russian
Anissa;F;
Anita;F;spanish
Anja;F;scandinavian
Anjali;F;indian
Anjelica;F;english (modern)
Anka;F;polish
Anke;F;german, dutch
Ankur;M;indian
Ann;F;english
Anna;F;english, italian, german, dutch, scandinavian
Annabel;F;english
Annabella;F;english, italian
Annabelle;F;english
Annaëlle;F;
Annalisa;F;english
Annas;M;biblical
Anne;F;french, english, german, scandinavian
Anne-Laure;F;
Anne-Sophie;F;
Anneka;F;english
Anneke;F;dutch
Anneli;F;finnish
Annelie;F;german, scandinavian
Anneliese;F;german
Annelise;F;danish
Annemarie;F;dutch, german
Annetta;F;english, italian
Annette;F;french
Annice;F;english
Annick;F;breton
Annie;F;english
Anniina;F;finnish
Annika;F;dutch, swedish, finnish
Annikki;F;finnish
Annis;F;english
Annmarie;F;english
Annunciata;F;italian
Annunziata;F;italian
Annuska;F;hungarian
Anona;F;english
Anouck;F;
Anouk;F;dutch
Anoush;F;armenian
Anouska;F;russian
Anra;M;irish
Ansel;M;
Anselm;M;english
Anselma;F;german, dutch, italian, spanish
Anselme;M;french
Anselmo;M;italian, spanish, portuguese
Ansgar;M;german, scandinavian
Anshel;M;jewish
Anson;M;english
Antal;M;hungarian
Antanas;M;lithuanian
Ante;M;croatian
Antero;M;finnish
Anthea;F;greek mythology (latinized)
Anthony;M;english
Antigone;F;greek mythology
Antigonus;M;ancient greek (latinized)
Antiope;F;greek mythology
Antipater;M;ancient greek (anglicized)
Antje;F;german, dutch
Anto;M;croatian
Antoine;M;french
Antoinette;F;french
Anton;M;german, russian, scandinavian, bulgarian, slo
Antonella;F;italian
Antonello;M;italian
Antonette;F;english
Antoni;M;polish, catalan
Antonia;F;english, italian, spanish, portuguese, german
Antonie;F;czech
Antonietta;F;spanish, italian
Antonija;F;croatian, slovene
Antonin;M;
Antonina;F;polish, russian
Antonino;M;italian
Antonio;M;spanish, italian, portuguese
Antonius;M;ancient roman, dutch
Antono;M;esperanto
Antony;M;english
Antti;M;finnish
Antun;M;croatian
Antwan;M;english (modern)
Anubis;M;egyptian mythology (hellenized)
Anunciaci;F;spanish
Anupam;M;indian
Anushka;F;russian
Anwar;M;arabic
Anwen;F;welsh
Anwer;M;arabic
Anya;F;russian
Aodh;M;irish, scottish
Aoibh;F;irish
Aoibheann;F;irish
Aoide;F;greek mythology
Aoife;F;irish, irish mythology
Aonghas;M;scottish, irish
Aonghus;M;scottish, irish, irish mythology
Aphra;F;
Aphrodisia;F;ancient greek
Aphrodisios;M;ancient greek
Aphrodite;F;greek mythology
Apikalia;F;hawaiian
Apolinar;M;spanish
Apollinaire;M;french
Apollinaris;M;ancient greek
Apollinariya;F;russian
Apolline;F;french
Apollo;M;greek mythology (latinized)
Apollodoros;M;ancient greek
Apollonia;F;ancient greek
Apollonios;M;ancient greek
Apolonija;F;slovene
Apostolis;M;greek
Apostolos;M;greek
Apphia;F;biblical
Appius;M;ancient roman
Appoline;F;
April;F;english
Aquila;M;biblical, ancient roman
Arabella;F;english, italian
Araceli;F;spanish
Aracelis;F;
Aracely;F;
Arachne;F;greek mythology
Aragorn;M;literature
Araminta;F;
Aran;F;
Aranka;F;hungarian
Aranrhod;F;welsh, welsh mythology
Arantxa;F;basque
Aras;M;lithuanian
Arata;M;japanese
Aravinda;M;indian
Arcadia;F;late roman
Arcangelo;M;italian
Arcelia;F;spanish
Archelaus;M;ancient greek (latinized), biblical
Archibald;M;scottish, english
Archie;M;scottish, english
Archimedes;M;ancient greek
Archippos;M;ancient greek
Arda;M;
Ardal;M;irish
Ardashir;M;iranian
Arden;M;english
Ardghal;M;irish
Arduino;M;italian
Areli;M;biblical
Ares;M;greek mythology
Aretha;F;english
Arethusa;F;greek mythology
Arevig;F;armenian
Argus;M;greek mythology (latinized)
Argyris;M;greek
Argyros;M;ancient greek
Ari;M;jewish, ancient scandinavian
Aria;F;english
Ariadne;F;greek mythology, english
Ariana;F;english
Ariane;F;english, french
Arianna;F;italian
Arianne;F;french
Arianrhod;F;welsh, welsh mythology
Aric;M;english
Arie;M;
Ariel;M,F;biblical, jewish
Ariella;F;english
Arielle;F;english
Arienne;F;french
Aries;M;roman mythology
Arij;F;
Arik;M;
Arina;F;russian
Aris;M;
Arisha;F;russian
Arista;F;astronomy
Aristide;M;french
Aristides;M;ancient greek
Aristocles;M;ancient greek (latinized)
Aristodemos;M;ancient greek, greek mythology
Aristomache;F;ancient greek
Ariston;M;ancient greek
Aristophanes;M;ancient greek
Aristotle;M;ancient greek (latinized)
Arisu;F;japanese
Arisztid;M;hungarian
Arjan;M;dutch
Arjun;M;indian
Arjuna;M;indian
Arkadi;M;russian
Arkadios;M;ancient greek
Arkady;M;russian
Arkell;M;english
Arleen;F;english
Arlen;M;
Arlene;F;english
Arlette;F;french, english
Arlie;F,M;english
Arline;F;english
Arman;M;
Armance;F;
Armand;M;french
Armando;M;spanish, italian, portuguese
Armel;M;french
Armelle;F;french
Armin;M;german
Armo;M;finnish
Arn;M;english
Arnaldo;M;italian
Arnau;M;catalan
Arnaud;M;french
Arnaude;F;french
Arndt;M;german
Arne;M;scandinavian
Arnie;M;english
Arno;M;
Arnold;M;english, german
Aroha;F;maori
Aroldo;M;italian
Aron;M;polish
Arrigo;M;italian
Arron;M;english
Arsen;M;armenian
Arsène;M;
Arseni;M;russian
Arsenios;M;ancient greek
Arslane;M;
Art;M;english
Artair;M;scottish
Artemidoros;M;ancient greek
Artemis;F;greek mythology
Artemisia;F;ancient greek
Artemisios;M;ancient greek
Arthur;M;english, welsh mythology
Arthus;M;
Arto;M;
Arttu;M;finnish
Artturi;M;finnish
Artur;M;german, portuguese
Arturo;M;italian, spanish
Artus;M;
Arundhati;F;indian, hindu mythology
Arvel;M;welsh
Arvid;M;scandinavian
Arvo;M;finnish
Arwa;F;
Arwen;F;literature
Arya;F;
Aryana;F;
Arzu;F;turkish
As'ad;M;arabic
Asa;M;biblical, jewish
Asad;M;arabic
Asaf;M;biblical (variant)
Asaph;M;biblical
Asdrubal;M;spanish
Aseem;M;indian
Asenath;F;biblical
Ash;M,F;english
Asha;F;indian
Ashanti;F;
Asher;M;biblical, jewish
Asherah;F;near eastern mythology
Ashlee;F;english (modern)
Ashleigh;F;english (modern)
Ashley;F,M;english
Ashlie;F;english (modern)
Ashling;F;irish
Ashlyn;F;english
Ashlynn;F;english (modern)
Ashok;M;indian
Ashoka;M;indian
Ashtad;M;
Ashton;M,F;english
Ashtoreth;F;biblical, near eastern mythology
Asia;F,M;english
Asim;M;arabic
Asklepiades;M;ancient greek
Asklepios;M;greek mythology
Aslaug;F;norwegian, danish
Asli;F;turkish
Asma;F;arabic
Asmaa;F;
Aspasia;F;greek mythology
Aspen;F;english
Assa;F;
Assetou;F;
Assia;F;
Assil;F;
Assumpci;F;catalan
Assumpta;F;irish
Assunta;F;italian
Assya;F;
Asta;F;scandinavian
Astaroth;F;near eastern mythology
Astarte;F;near eastern mythology (hellenized)
Astor;M;english
Astou;F;
Astra;F;english
Astraea;F;greek mythology (latinized)
Astrid;F;scandinavian
Astrithr;F;ancient scandinavian
Astrophel;M;literature
Asunci;F;spanish
Asya;F;russian
Ata;M;turkish
Atalanta;F;greek mythology
Atallah;M;arabic
Atara;F;jewish
Atarah;F;biblical
Ataullah;M;arabic
Atefeh;F;iranian
Athanas;M;ancient greek
Athanasia;F;greek, ancient greek (latinized)
Athanasios;M;greek, ancient greek
Athanasius;M;ancient greek (latinized)
Athelstan;M;
Athena;F;greek mythology
Athenaïs;F;
Athenias;F;ancient greek
Atieno;F;african
Atilio;M;spanish
Atiya;F;arabic
Atlas;M;greek mythology
Atticus;M;
Attila;M;history, hungarian
Attilio;M;italian
Auberon;M;english
Aubin;M;
Aubree;F;english
Aubrey;M,F;english
Aude;F;french
Audie;F;english
Audley;M;english
Audra;F;lithuanian, english
Audrea;F;english
Audrey;F;english
August;M;german, polish, english
Augusta;F;english, italian, polish
Auguste;M;french
Augustijn;M;dutch
Augustin;M;french
Augustine;F;
Augusto;M;spanish, italian, portuguese
Augusts;M;latvian
Augustus;M;ancient roman
Aukusti;M;finnish
Aulay;M;scottish
Aulus;M;ancient roman
Aune;F;finnish
Aura;F;english
Aurangzeb;M;indian
Aurel;M;german, romanian
Aurèle;M;
Aurelia;F;ancient roman, italian, romanian
Aureliano;M;spanish
Aurelie;F;
Aurelien;M;french
Aurelio;M;italian, spanish, portuguese
Aurelius;M;ancient roman
Aureole;F;english
Auriane;F;
Aurora;F;roman mythology
Aurore;F;french
Ausra;F;lithuanian
Austen;M;english
Austin;M;english
Austyn;M,F;english (modern)
Autumn;M,F;english
Auxence;M;
Ava;F;english, iranian
Avalon;F;english
Avdotya;F;russian
Avedis;M;armenian
Avelina;F;english
Aveline;F;english
Averill;M,F;english
Avery;M,F;english
Avi;M;jewish
Avia;F;
Avice;F;english
Avidan;M;jewish
Aviel;M;
Avila;F;english
Aviram;M;jewish
Avis;F;english
Avishai;M;jewish
Avital;F;
Avitus;M;ancient roman
Aviv;M;jewish
Aviva;F;jewish
Avner;M;jewish
Avra;F;
Avraham;M;jewish
Avram;M;jewish
Avril;F;french, english
Avrum;M;jewish
Awa;F;
Awotwi;M,F;african
Awstin;M;welsh
Axel;M;scandinavian
Axelle;F;french
Aya;F;japanese
Ayaan;M;
Ayah;F;
Ayala;F;jewish
Ayana;F;
Aydan;M;
Ayden;M;
Aydin;M;turkish
Ayelet;F;jewish
Ayem;F;
Ayesha;F;arabic
Ayishah;F;arabic
Ayla;F;jewish, turkish, literature
Aylan;M;
Aylin;F;
Ayline;F;
Aylmer;M;
Ayman;M;
Aymane;M;
Aymen;M;
Aymeric;M;
Ayn;F;russian
Ayo;F;african
Ayomide;F;african
Ayoub;M;
Aysel;F;turkish
Aysun;F;turkish
Azad;M;
Azalea;F;english
Azarel;M;biblical
Azaria;M;biblical (variant)
Azariah;M;biblical
Azarias;M;
Azeneth;F;
Aziz;M;arabic
Azrael;M;judeo-christian legend
Azubah;F;biblical
Azucena;F;spanish
Azuolas;M;lithuanian
Azura;F;english
Azure;F;english
Baako;M,F;african
Baal;M;near eastern mythology
Babajide;M;african
Babak;M;iranian
Babar;M;indian
Babatunde;M;african
Baber;M;indian
Babette;F;english
Babirye;F;african
Babs;F;english
Babur;M;indian
Bacchus;M;greek mythology (latinized)
Badis;M;
Badr;M,F;arabic
Bafode;M;
Baha;M;arabic
Bahia;F;
Bahiga;F;arabic
Bahij;M;arabic
Bahija;F;arabic
Bahiyya;F;arabic
Bahman;M;iranian
Bahram;M;iranian
Bai;M;chinese
Baila;F;jewish
Bailee;F;english (modern)
Bailey;M,F;english
Bakary;M;
Bakr;M;arabic
Bala;M,F;indian
Baldassare;M;italian
Balder;M;norse mythology
Baldev;M;indian, hindu mythology
Baldo;M;croatian
Baldomero;M;spanish
Baldric;M;english
Baldur;M;german
Baldwin;M;english
Balfour;M;
Balkis;F;
Baltasar;M;spanish
Baltazar;M;judeo-christian legend
Balthasar;M;judeo-christian legend
Balthazar;M;judeo-christian legend
Bambi;F;english
Bandi;M;hungarian
Banu;F;turkish
Bao;M,F;chinese, vietnamese
Baptist;M;german, english
Baptiste;M;french
Baqir;M;arabic
Barabal;F;scottish
Barak;M;biblical, jewish
Barakat;M;arabic
Barb;F;english
Barbara;F;english, italian, french, german, polish, hun
Barbie;F;english
Barbora;F;czech, slovak
Barbra;F;english (modern)
Barbro;F;swedish
Barclay;M;scottish, english, irish
Baris;M;turkish
Barlaam;M;judeo-christian legend
Barna;M;hungarian
Barnab;M;french,hungarian
Barnabas;M;english, german, biblical
Barnabe;M;
Barnaby;M;english
Barney;M;english
Barra;M;irish
Barret;M;english
Barrett;M;english
Barrie;M;irish, english
Barry;M;irish, english
Bart;M;english, dutch
Bartal;M;hungarian
Bartel;M;dutch
Barthelemy;M;
Bartholomaus;M;german
Bartholomew;M;english, biblical
Bartlomiej;M;polish
Bartolom;M;spanish
Bartolomeo;M;italian
Bartosz;M;polish
Baruch;M;biblical, jewish
Bas;M;dutch
Basajaun;M;basque
Basant;M;indian
Basemath;F;biblical
Bashe;F;jewish
Bashemath;F;biblical (variant)
Basia;F;polish, jewish
Basil;M;english
Basile;M;french
Basilio;M;italian, spanish
